"","Species","Range_size_km","Bill_Nares","Bill_Width","Bill_Depth","Tarsus_Length","Secondary1","Wing_Chord","Hand.Wing.Index..Claramunt.2011.","Tail_Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"1018","Dendrexetastes_rufigula",4694429.13857861,22.66,8.636666667,9.15,23.82,90.19444444,105.7444444,14.68011299,99.75,69.6,90,0,0,0,0,0,10,0,0,0,0,0,0,0,50,50,0
"1019","Dendrocincla_fuliginosa",10011461.6111863,19.40679487,6.509358974,6.999927536,23.16311594,83.474,102.5576087,18.33088138,84.12058824,38.7,80,0,10,0,10,0,0,0,0,0,0,0,33,33,33,0,0
"1020","Dendrocincla_merula",6238485.40697054,17.83578947,5.690526316,5.911578947,24.532835,79.94368421,100.5565,20.32630313,79.71875,49.99,90,0,10,0,0,0,0,0,0,0,0,0,40,40,20,0,0
"1021","Dendrocincla_turdina",1606316.60179481,18.65,6.525,7.096666667,24.22833333,83.1,104.84,20.46650204,85.22833333,39,100,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0
"1022","Dendrocitta_formosae",4607264.67181455,23.5,11.45,14.8,31.05,122.3,145.25,15.79692104,216.05,102.74,40,10,10,0,0,10,10,10,10,0,0,0,30,20,30,20,0
"158","Dendrocitta_vagabunda",5790211.00646966,21.275,8.775,13.125,31.65,125.25,147.25,14.95803233,231.5,100,40,20,10,0,0,10,20,0,0,0,0,0,10,20,20,50,0
"1023","Dendrocolaptes_certhia",7583308.60847319,29.26227273,9.44,8.01,27.35409091,104.0668182,126.6581818,17.80904493,123,68.7,80,0,20,0,0,0,0,0,0,0,0,0,0,10,90,0,0
"1024","Dendrocolaptes_picumnus",7433883.80830623,28.92222222,8.836666667,8.493333333,28.82777778,109.47,131.9133333,17.02511495,124,76.6,80,0,20,0,0,0,0,0,0,0,0,0,40,40,20,0,0
"1025","Dendrocolaptes_platyrostris",4619716.73849513,27.51428571,9.336363636,8.173846154,25.68692308,98.98363636,118.8184615,16.75774641,112.147,61.7,80,0,0,0,10,0,0,0,0,10,0,0,50,50,0,0,0
"1026","Dendrocopos_assimilis",1120686.0012522,20,6.625,6.575,20.225,82.725,114.25,27.59295519,68,51.84,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
"1027","Dendrocopos_auriceps",448274.40050088,17.25,5.525,5.65,18.225,77.25,112.75,31.49716659,69.5,39.92,70,0,0,0,0,0,20,0,10,0,0,0,10,30,40,20,0
"1028","Dendrocopos_canicapillus",10783489.7453823,13.65,5.175,5.1125,13.975,59.9875,83.625,28.28540051,41.5,25.76,70,0,0,0,0,0,10,0,10,10,0,0,0,33,33,33,0
"1029","Dendrocopos_hyperythrus",2751906.73640816,19.575,5.525,5.825,19.65,81.525,114.75,28.96104642,66.75,46.49,70,0,0,0,0,0,0,20,0,10,0,0,0,0,50,50,0
"1030","Dendrocopos_kizuki",2926235.66993627,11.525,4.375,4.275,13.825,58.3,82,28.89737455,46,19.19,90,0,0,0,0,0,10,0,0,0,0,0,0,0,20,80,0
"1031","Dendrocopos_leucotos",16137878.4180317,28.72625,9.315,8.67375,26.165,103.52,146.0525,29.1202255,89.97125,116.8,70,0,0,0,0,0,20,0,10,0,0,0,0,20,60,10,10
"1032","Dendrocopos_macei",3349605.93707598,16.9375,6.0125,6,17.675,74.375,96.6875,22.94289831,54.0625,44.93,80,0,0,0,0,0,20,0,0,0,0,0,0,20,60,20,0
"159","Dendrocopos_maculatus",734671.934154217,13.875,4.925,5.475,14.75,60.575,80.75,24.94462397,40.5,24.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0
"160","Dendrocopos_mahrattensis",3847688.60429918,18.575,5.95,6.15,17.875,74.55,99,24.71331827,55.25,34.3,80,0,0,0,0,0,10,10,0,0,0,0,0,0,50,50,0
"161","Dendrocopos_major",31043002.2346857,21.85,10.15,9.15,26,98.9,138.6666667,28.66836341,90.75,74.94,50,10,0,0,0,10,0,0,30,0,0,0,0,20,40,30,10
"162","Dendrocopos_medius",5989444.07335893,16.45,5.825,6.375,19.125,89.5,123.875,27.74707489,87.75,59,70,0,0,0,0,0,20,0,10,0,0,0,10,30,30,30,0
"163","Dendrocopos_minor",23833255.62663,12.6,4.6,4.625,14.225,67.325,91.75,26.6099616,56.5,19.8,90,0,0,0,0,0,10,0,0,0,0,0,0,20,20,60,0
"1033","Dendrocopos_nanus",3038304.27006149,10.5,4.025,4.425,13.35,55.925,77,27.36251687,35.25,16.15,70,0,0,0,0,0,20,10,0,0,0,0,0,80,20,0,0
"164","Dendrocopos_syriacus",4607264.67181456,22.2,6.775,6.65,21.575,90.675,123.5,26.58551986,72,76.7,50,0,0,0,0,0,20,10,20,0,0,0,20,30,40,10,0
"165","Dendroica_coronata",9538283.07732424,7.221,3.173,3.344,19.206,54.57,74,26.17043617,55.85,11.94,70,0,0,0,0,0,10,10,10,0,0,0,0,50,50,0,0
"1034","Dendroica_dominica",2702098.46968584,10.278,2.924,3.35,16.46833333,46.536,64.23166667,27.38431331,50.71333333,9.69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0
"1035","Dendroica_graciae",1008617.40112698,7.6,2.74,2.98,16.58333333,47.58,64.25,26.18935103,48.58333333,8.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0
"166","Dendroica_magnolia",2714550.53636642,7.01,3.196,3.342,17.036,46.21,59.7,22.58692732,48.3,8.14,100,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0
"167","Dendroica_nigrescens",1058425.6678493,6.9,3.225,3.775,18.64,48.975,62.6,22.22555832,46.8,8.7,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"1036","Dendroica_occidentalis",1319919.06814147,7.675,3.1,3.6,17.45,48.425,67.375,28.11713911,54.5,10.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0
"1037","Dendroica_petechia",6587143.27402678,8.27,3.65,3.51,19.1525,43.78,58.625,25.38130756,47.5,10.22,100,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0
"168","Dendroica_townsendi",2091947.20233743,7.38,2.94,3.185,18.239,45.42,63.4,28.37785694,50,8.84,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0
"169","Dendroica_virens",3337153.87039541,7.075,3.035,3.261,17.96181818,45.27,61.72727273,26.62464888,47.90909091,8.69,60,0,0,0,0,0,20,0,0,20,0,0,0,20,60,20,0
"1038","Dendronanthus_indicus",6001896.14003952,11.1,3.25,3.45,20.275,51.325,78.25,34.40840278,64.25,16.4,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"1039","Dendropicos_fuscescens",14942480.016696,15.225,5.575,5.775,16.175,71.575,92,22.19000932,46.75,26,90,0,0,0,0,0,10,0,0,0,0,0,10,40,40,10,0
"1040","Dendroplex_picus",11194407.9458414,22.60875,4.80625,6.531333333,20.27857143,83.01125,97.70533333,17.79866851,82.71090909,41.34,90,0,10,0,0,0,0,0,0,0,0,0,0,20,80,0,0
"1041","Dendrortyx_barbatus",87164.4667640596,11.35,9.575,12.4,46.45,124.9,150.5,17.02597963,107.75,432,0,0,0,0,0,0,50,0,40,10,0,0,60,30,10,0,0
"1042","Deroptyus_accipitrinus",4868758.07210673,33.24,20.794,33.482,19.55,129.26,195,33.75526666,144.6,246,0,0,0,0,0,0,40,0,20,40,0,0,0,30,40,30,0
"1043","Dicaeum_agile",7247102.80809753,6.95,3.55,3.575,13.05,42.675,60.25,29.15684093,30.75,9,20,0,0,0,0,0,60,0,0,20,0,0,0,20,20,60,0
"1044","Dicaeum_australe",709767.800793057,7.075,3.425,3.7,13.65,45,52.75,14.62202208,28.5,8.7,0,0,0,0,0,0,50,50,0,0,0,0,0,30,60,10,0
"1045","Dicaeum_bicolor",734671.934154217,5.675,3.525,3.775,13.775,40.5,47.75,15.18345164,25,9.1,0,0,0,0,0,0,50,50,0,0,0,0,0,20,60,20,0
"1046","Dicaeum_chrysorrheum",5167607.67244066,7.6375,3.5125,3.725,13.375,44.3375,58.6375,24.36022539,29.9375,9,30,0,0,0,0,0,40,30,0,0,0,0,0,30,40,30,0
"170","Dicaeum_concolor",7421431.74162565,7.255555556,2.822222222,2.816666667,11.21111111,36.06111111,45.41666667,20.64827715,23.13888889,6.2,30,0,0,0,0,0,40,30,0,0,0,0,0,30,20,50,0
"171","Dicaeum_cruentatum",6549787.07398505,7.35,3.2,3.0125,12.2375,37.5875,47.75,21.26833373,24.75,5.6,20,0,0,0,0,0,40,20,20,0,0,0,0,30,40,30,0
"1047","Dicaeum_erythrorhynchos",3013400.13670033,7.425,2.55,2.9,12.325,38.325,48.5,20.98007246,23.25,6.3,0,0,0,0,0,0,30,60,0,10,0,0,0,20,20,60,0
"1048","Dicaeum_hypoleucum",635055.400709578,8.15,2.65,3.2,13.525,42.7,52.25,18.28064773,25.25,8,30,0,0,0,0,0,40,30,0,0,0,0,0,30,40,30,0
"1049","Dicaeum_ignipectus",6898444.94104129,6.025,2.425,2.675,11.625,35.875,46.75,23.28177999,24.75,5.72,20,0,0,0,0,0,40,40,0,0,0,0,0,0,30,70,0
"1050","Dicaeum_melanoxanthum",2353440.6026296,5.35,2.975,3.975,15.425,51.375,67,23.29821628,39.5,8.46,70,0,0,0,0,0,10,10,0,10,0,0,0,0,20,60,20
"1051","Dicaeum_pygmaeum",846740.534279436,6.25,2.425,2.775,10.75,36.35,43.625,16.63021003,22.5,5,0,0,0,0,0,0,70,30,0,0,0,0,0,30,40,30,0
"1052","Dicaeum_trigonostigma",4420483.67160585,8.271428571,3.428571429,3.214285714,13.31428571,41.14285714,49.42857143,16.78616616,22.25,7.1,10,0,0,0,0,0,30,30,20,10,0,0,0,30,40,30,0
"1053","Dicrurus_adsimilis",16685769.3519772,14.5,6.825,7.775,20.71,101.775,130.9,23.81568448,107.1,40.3,70,0,0,10,0,0,0,20,0,0,0,0,20,20,20,20,20
"1054","Dicrurus_aeneus",7135034.20797231,13.26,7.02,6.62,15.00666667,81.8,112.7333333,27.86537116,86.3,26,90,0,0,0,0,0,0,10,0,0,0,0,0,0,40,40,20
"1055","Dicrurus_annectans",4520100.20505049,19.35714286,9.4,10.54285714,20.84285714,102.7857143,142.7142857,27.96161241,119.7142857,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30
"1056","Dicrurus_balicassius",448274.400500878,20.875,9.425,10.85,22.65,111.875,138.75,19.34378122,115,72.29,100,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,10
"1057","Dicrurus_hottentottus",7732733.40864015,26.35,10.34,11.3,25.13,118.29,156.45,24.24648006,145.65,79.19,50,0,10,0,0,0,0,40,0,0,0,0,0,20,60,20,0
