Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Meliphaga notata,Meliphaga_notata,4,0,2,2,23.9,11.1,3.425,4.35,23.725,10.6,71.9,82.5,12.8435134,71.75,26.44,1,NO,,NO,,
Meliphaga orientalis,Meliphaga_orientalis,4,2,1,1,20.875,10.4,2.85,3.325,20.1,13.075,58.175,71.25,18.34532995,63.75,18.09,1,NO,,NO,,
Meliphaga reticulata,Meliphaga_reticulata,5,0,3,2,22.482,10.025,2.975,4.05,22.784,11.3,65.2,76.6,14.75205366,70.4,23.56,1,NO,,NO,,
Meliphaga vicina,Meliphaga_vicina,4,2,2,0,21.875,11.55,3.325,4.45,22.025,13.675,70.95,84.625,16.17983334,72.125,23.56,1,NO,,NO,,
Melipotes ater,Melipotes_ater,4,1,3,0,27.13,14.705,5.46,7.3375,40.655,32.525,116.85,149.375,21.71879236,150.4375,51.5,1,NO,,NO,,
Melipotes fumigatus,Melipotes_fumigatus,5,2,2,1,22.334,11.4,4.3,5.175,30.192,19.475,83.4,103.7,18.93591631,97.4,58.6,1,NO,,NO,,
Melipotes gymnops,Melipotes_gymnops,4,2,0,2,22.2,11.9,4.65,5.825,29.775,23.25,81.25,104.5,22.15762854,94.75,50,1,NO,,NO,,
Melithreptus affinis,Melithreptus_affinis,4,2,2,0,14.15,6.95,3.1,3.875,18.15,21.4,55.6,77,27.77279937,63,15,1,NO,,NO,,
Melithreptus albogularis,Melithreptus_albogularis,4,2,2,0,14.025,7.525,2.8,3.5,16.025,16.525,57.6,74.125,22.29482883,58,11.03,2,NO,,NO,,
Melithreptus brevirostris,Melithreptus_brevirostris,5,2,2,1,13.4,7.625,2.95,3.75,17.02,15.725,53.275,68.58,22.79965951,56.92,12.6,2,NO,,NO,,
