Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Cicinnurus regius,Cicinnurus_regius,5,2,2,1,26.36941783,13.875,4.4,5.8,27.08288363,11.025,92.475,102.5710619,10.66596639,47.09908085,51.63,1,NO,,NO,,
Cicinnurus respublica,Cicinnurus_respublica,5,1,2,2,23.06,14.625,4.3,5.65,27.18,15.075,81.925,97,15.46366651,38.6,58.44,1,NO,,NO,,
Ciconia abdimii,Ciconia_abdimii,4,2,2,0,108.05,82.175,15.425,23.975,113,185.75,230.75,416.5,44.60840649,163,1398,3,NO,,NO,,
Ciconia boyciana,Ciconia_boyciana,4,3,1,0,225.25,180.5,23.975,37.875,257,268.25,332.25,600.5,44.66346461,218.75,4847.74,3,NO,,NO,,
Ciconia ciconia,Ciconia_ciconia,4,2,2,0,191.75,153.375,23.8,33.025,214.5,260.25,306.75,567,45.88328463,253.5,3445.8,3,NO,,NO,,
Ciconia episcopus,Ciconia_episcopus,8,5,3,0,152.61875,121.24625,17.41625,27.92125,156.20875,178.295,290.955,469.25,38.00793215,178.375,2061,3,NO,,NO,,
Ciconia maguari,Ciconia_maguari,4,1,2,1,248.5,182.3333333,26.6,35.425,258.25,248.25,328.25,576.5,43.17250411,254.5,3994.99,3,NO,,NO,,
Ciconia nigra,Ciconia_nigra,4,2,2,0,188.75,145.65,16.85,27.425,193.5,245.5,293.25,538.75,45.60820238,233.5,2926,2,NO,,NO,,
Ciconia stormi,Ciconia_stormi,4,1,0,3,141.4575,107.87,17.1,28.445,133.84,111.495,276.005,387.5,28.75887328,172.25,3086.33,2,NO,,NO,,
Cinclidium diana,Cinclidium_diana,4,2,2,0,16.05,9.4,3.6,4.3,25.375,12.975,69.775,82.75,15.70222843,64.5,26.2,1,NO,,NO,,
Cinclidium frontale,Cinclidium_frontale,4,2,2,0,16.05,8.85,3.525,4.025,35.325,10.25,72.125,82.375,12.37820639,86.5,25.4,1,NO,,NO,,
Cinclidium leucurum,Cinclidium_leucurum,4,2,2,0,16.425,9.425,3.3,4.3,26.95,16.65,73.6,90.25,18.4902811,73.25,26.83,2,NO,,NO,,
Cinclocerthia gutturalis,Cinclocerthia_gutturalis,4,1,1,2,41.19,27.6375,5.025,6.47,30.49,16.515,86.86,103.375,15.97453038,90.5,69.2,1,NO,,NO,,
Cinclocerthia ruficauda,Cinclocerthia_ruficauda,4,2,2,0,34.3,22.9,4.8,5.85,28.2,18.425,79.325,97.75,18.80072311,80.5,54.98,1,NO,,NO,,
Cinclodes albidiventris,Cinclodes_albidiventris,7,2,5,0,18.525,10.97,3.167142857,3.788571429,28.45833333,21.67571429,75.63714286,97.31285714,22.24301846,73.375,30,3,NO,,NO,,
Cinclodes albiventris,Cinclodes_albiventris,8,2,5,1,17.986,11.35857143,2.982857143,3.77,26.235,20.16428571,73.87142857,94.65625,21.43156848,71.3,30,3,NO,,NO,,
Cinclodes antarcticus,Cinclodes_antarcticus,9,3,6,0,23.475,12.88111111,3.715555556,4.741111111,26.81444444,29.68222222,79.77,109.4522222,27.09585687,79.75,63.2,3,NO,,NO,,
Cinclodes aricomae,Cinclodes_aricomae,3,0,1,2,27,17.095,4.18,5.593333333,29.34666667,24.19,88.68,112.87,21.35225661,78,50,2,NO,,NO,,
Cinclodes atacamensis,Cinclodes_atacamensis,9,3,5,1,25.726,16.54,3.67375,4.7325,30.61111111,26.00714286,86.54142857,111.1188889,23.0707167,86.2,53,3,NO,,NO,,
Cinclodes comechingonus,Cinclodes_comechingonus,4,2,2,0,16.5,11.185,3.0325,3.7225,23.34,20.92625,67.15375,88.08,23.72788931,71,28.28,3,NO,,NO,,
Cinclodes excelsior,Cinclodes_excelsior,7,3,4,0,27.075,18.49714286,4.648571429,5.695714286,30.91428571,24.85285714,87.84857143,112.7014286,22.03205785,87.75,63.96,3,NO,,NO,,
Cinclodes fuscus,Cinclodes_fuscus,7,2,5,0,18.225,11.72714286,3.137142857,3.788571429,23.37142857,29.71142857,69.88571429,99.59714286,29.82806749,75,30,3,NO,,NO,,
Cinclodes nigrofumosus,Cinclodes_nigrofumosus,8,3,2,3,27.914,16.91857143,4.465714286,5.498571429,31.76375,24.33,90.23857143,115.4975,21.2410475,90.4,64.96,3,NO,,NO,,
Cinclodes olrogi,Cinclodes_olrogi,3,2,0,1,16.5,10.94666667,3.023333333,3.36,24.19333333,22.49666667,66.59,89.08666667,25.25256305,71,28,3,NO,,YES,"Bill total culmen, Tail length",Cinclodes comechingonus
Cinclodes oustaleti,Cinclodes_oustaleti,9,1,5,3,20.58,12.5925,3.08,3.85,25.14666667,22.55125,69.21875,91.90666667,24.53247241,68.6,30.5,3,NO,,NO,,
Cinclodes pabsti,Cinclodes_pabsti,4,1,1,2,23.45,14.91,4.13125,4.55,30.36875,24.2775,80.3325,104.61,23.19044985,92.25,53,3,NO,,NO,,
Cinclodes palliatus,Cinclodes_palliatus,9,2,7,0,28.875,18.30444444,4.582222222,5.918888889,36.41111111,23.45222222,107.4455556,130.8977778,17.88512819,98.25,103.87,3,NO,,NO,,
Cinclodes patagonicus,Cinclodes_patagonicus,7,1,6,0,24.525,15.39,3.425714286,4.264285714,28.46,25.29,74.27571429,99.56571429,25.40355133,76.5,30.7,3,NO,,NO,,
Cinclodes taczanowskii,Cinclodes_taczanowskii,8,3,5,0,26.025,15.91625,4.275,5.3225,29.9725,27.25375,86.15625,113.41,24.0123965,88.25,64.5,3,NO,,NO,,
Cincloramphus cruralis,Cincloramphus_cruralis,4,2,2,0,19.525,11.125,4.125,4.775,33.925,22.325,73.05,95.375,22.98408489,91,49.22,3,NO,,NO,,
Cincloramphus mathewsi,Cincloramphus_mathewsi,4,2,2,0,15.9,8.775,3.225,3.75,25.375,17.775,64.225,82,21.3609886,75.25,29.34,3,NO,,NO,,
Cinclosoma ajax,Cinclosoma_ajax,4,2,2,0,24.775,13.6,4.25,5,31.525,19.4,78.35,97.75,19.83212888,96,65.27,1,NO,,NO,,
Cinclosoma castaneothorax,Cinclosoma_castaneothorax,4,2,2,0,18.55,10.125,4.05,4.8,26.8,23.45,69.675,93.125,25.18065042,95.75,62.42,2,NO,,NO,,
Cinclosoma castanotum,Cinclosoma_castanotum,4,2,2,0,20.125,10.875,3.775,4.975,30.125,23,75.5,98.5,23.32052487,100,73.33,2,NO,,NO,,
Cinclosoma cinnamomeum,Cinclosoma_cinnamomeum,4,2,2,0,19.625,10.625,3.975,4.9,27.825,16.7,70.3,87,19.2043445,86.75,56.14,2,NO,,NO,,
Cinclosoma punctatum,Cinclosoma_punctatum,4,2,2,0,21.9,11.825,4.425,5.3,31.8,22.675,85.825,108.5,20.89921614,111.6666667,113.31,2,NO,,NO,,
Cinclus cinclus,Cinclus_cinclus,4,2,2,0,20.65,11.85,3.425,4.475,28.325,22.975,63.025,86,26.65853866,51.25,61.47,3,NO,,NO,,
Cinclus leucocephalus,Cinclus_leucocephalus,8,4,3,1,18.259375,9.114285714,3.364285714,4.057142857,28.0875,18.57142857,68.03571429,86.0625,21.4542762,49.65625,44,3,NO,,NO,,
Cinclus mexicanus,Cinclus_mexicanus,4,2,2,0,21.3,11.7,3.375,4.775,29.4,23.6,65.275,88.875,26.52097699,52.5,56.68,3,NO,,NO,,
Cinclus pallasii,Cinclus_pallasii,4,2,2,0,23.075,13.325,3.7,5.175,30.225,27.725,71.525,99.25,27.93048314,66.25,76,3,NO,,NO,,
Cinclus schulzi,Cinclus_schulzi,5,1,1,3,17.9,8.4,3,3.8,27.44,14.85,60.775,76.3,19.65194047,43.2,37.6,3,NO,,NO,,
Cinnycerthia fulva,Cinnycerthia_fulva,25,0,0,25,18.216,9.776,3.616,3.96,23.904,7.02,50.34,57.36,12.21032154,56.68,16.5,1,NO,,NO,,
Cinnycerthia olivascens,Cinnycerthia_olivascens,4,2,2,0,17.875,10.875,4,5.025,24.95,6.475,62.525,69,9.414699793,69.25,24.4,1,NO,,NO,,
Cinnycerthia peruana,Cinnycerthia_peruana,4,1,0,3,17.585,10.185,4.105,4.67,25.655,8.1,52.4,60.5,13.46191675,61.25,19.46,1,NO,,NO,,
Cinnycerthia unirufa,Cinnycerthia_unirufa,4,0,1,3,18.025,10.525,3.45,4.6,28.3,11,65,76,14.49166715,77.75,29.4,1,NO,,NO,,
Cinnyricinclus femoralis,Cinnyricinclus_femoralis,4,2,2,0,16.075,9.15,4.625,4.325,23.675,23.7,71.8,95.5,24.77012571,69.25,45.87,1,NO,,NO,,
Cinnyricinclus leucogaster,Cinnyricinclus_leucogaster,4,2,2,0,16.6,9.025,4.3,5.025,20.675,30.1,74.525,104.625,28.85615712,64.375,44,2,NO,,NO,,
Cinnyricinclus sharpii,Cinnyricinclus_sharpii,5,0,4,1,15.498,8.15,4.825,4.475,21.628,30.675,74.825,104.4,29.07100428,67.8,41,1,NO,,NO,,
Circaetus beaudouini,Circaetus_beaudouini,4,3,1,0,46.3,33.45,15.05,22.775,77.425,216.75,280.5,497.25,43.57213439,254.5,1539.2,2,NO,,NO,,
Circaetus cinerascens,Circaetus_cinerascens,4,2,2,0,42.2,28.95,13.5,21.7,68.125,115.25,264.25,379.5,30.37165891,220.5,1126,1,NO,,NO,,
Circaetus cinereus,Circaetus_cinereus,4,2,2,0,54.775,40.6,15.675,28.825,92.225,222,295.25,517.25,42.91928147,255.5,2048,2,NO,,NO,,
Circaetus fasciolatus,Circaetus_fasciolatus,4,0,1,3,39.775,27.6875,13.91,23.0575,71.7125,101.5,260.75,362.25,28.05210154,227,1013.6,3,NO,,NO,,
Circaetus gallicus,Circaetus_gallicus,4,2,2,0,47.825,35.025,15.7,25.15,90.225,216.75,320.25,537,40.50327066,283.75,1699.12,3,NO,,NO,,
Circaetus pectoralis,Circaetus_pectoralis,4,2,2,0,46.475,33.75,14.75,23.275,83.075,229,303.5,532.5,43.01824234,260.5,1500,2,NO,,NO,,
Circus aeruginosus,Circus_aeruginosus,4,2,2,0,39.825,20.25,11.85,16.275,84.175,192.5,217,409.5,47.02241078,241.5,704.07,3,NO,,NO,,
Circus approximans,Circus_approximans,4,2,2,0,38.35,19.1,11.725,15.375,82.975,178.5,218,396.5,45.0295219,226.75,746.19,3,NO,,NO,,
Circus assimilis,Circus_assimilis,4,2,2,0,36.575,18.3,11.125,15.875,96.575,193.5,237.25,430.75,44.97917738,276.75,558.58,3,NO,,NO,,
Circus buffoni,Circus_buffoni,4,2,2,0,41.425,20.85,12.7,16.575,85.325,210,226,436,48.18871087,265,507.4,3,NO,,NO,,
Circus cinereus,Circus_cinereus,4,2,2,0,32.075,15.675,9.7,13.05,69.5,158.25,189.5,347.75,45.5518555,261.75,399.67,3,NO,,NO,,
Circus cyaneus,Circus_cyaneus,8,4,3,1,30.64625,16.59125,9.90375,13.23625,77.74875,160.95,200.5,361.45,44.57822953,166.4757143,392.98,3,NO,,NO,,
Circus macrosceles,Circus_macrosceles,7,3,4,0,37.60428571,20.81571429,11.83285714,16.28571429,92.23428571,201.7385714,220.8528571,422.5914286,47.76599346,245.26,663.6,3,NO,,NO,,
Circus macrourus,Circus_macrourus,4,2,2,0,30.025,15,10.225,12.675,69.1,186,172.75,358.75,51.92020685,228.75,384.36,3,NO,,NO,,
Circus maillardi,Circus_maillardi,4,1,3,0,38.4,19.875,11.6,16.475,83.55,144,214.75,358.75,40.17127602,228.75,663.6,1,NO,,NO,,
Circus maurus,Circus_maurus,4,2,0,2,32.05,16.95,10.725,13.8,72.425,151.25,203.5,354.75,42.6420233,249.75,508.99,2,NO,,NO,,
Circus melanoleucos,Circus_melanoleucos,4,2,2,0,30.2,15.525,9.65,13.425,74.15,179.75,176.5,356.25,50.45253079,214.5,336.3,3,NO,,NO,,
Circus pygargus,Circus_pygargus,4,2,2,0,26.475,13.525,8.675,11.275,63.725,189,174,363,52.05024525,221.75,310.75,3,NO,,NO,,
Circus ranivorus,Circus_ranivorus,4,2,2,0,36.45,18.875,11.625,14.3,86.15,163.25,207.5,370.75,44.05620015,230.5,507,3,NO,,NO,,
Circus spilonotus,Circus_spilonotus,9,3,5,1,36.60888889,20.50777778,11.97111111,15.02888889,87.83,160.2444444,230.4222222,390.6666667,40.87510118,227,558.78,3,NO,,NO,,
Cissa chinensis,Cissa_chinensis,4,2,2,0,37.975,24.2,9.55,13.75,43.35,11.225,133.275,144.5,7.750215296,191.5,126.64,1,NO,,NO,,
Cissa hypoleuca,Cissa_hypoleuca,4,2,2,0,38.85,24.525,9.475,15.35,44.35,10.325,134.05,144.375,7.151936361,144.875,143,1,NO,,NO,,
Cissa thalassina,Cissa_thalassina,8,4,4,0,35.97375,23.32125,10.2625,13.56375,40.62875,13.0925,121.915,135.0075,9.706580914,117.66625,164,1,NO,,NO,,
Cissopis leverianus,Cissopis_leverianus,5,3,2,0,20.26,12.035,7.685,9.464,26.25,14.49,88.26,102.908,14.07771836,129.33,76,2,NO,,NO,,
Cisticola aberdare,Cisticola_aberdare,4,2,2,0,15.95,7.6,3.075,3.825,23.65,7.35,55.775,63.125,11.55731991,53.5,24,3,NO,,NO,,
Cisticola aberrans,Cisticola_aberrans,8,4,4,0,13.4625,7.55,2.8875,3.25,20.075,4.9125,48.3375,53.25,9.178909337,57.5625,14.21,3,NO,,NO,,
Cisticola angusticauda,Cisticola_angusticauda,4,2,2,0,9.9,5.475,1.825,2.4,15.25,4.975,42.025,47,10.60347222,51.75,12.1,2,NO,,NO,,
Cisticola anonymus,Cisticola_anonymus,4,2,2,0,14.45,8.15,2.675,3.525,20.725,6.3,51.2,57.5,10.83721123,49.5,13.91,2,NO,,NO,,
Cisticola aridulus,Cisticola_aridulus,4,2,2,0,11.075,6.675,2.1,2.375,16.425,7.5,41.75,49.25,15.18209862,40.5,9.2,3,NO,,NO,,
Cisticola ayresii,Cisticola_ayresii,4,2,2,0,10.05,6,1.925,2.325,16.775,6.25,38.25,44.5,13.96359558,26,7,3,NO,,NO,,
Cisticola bodessa,Cisticola_bodessa,4,2,2,0,13.125,7.375,2.9,3.775,21.575,5.55,55.075,60.625,9.12304852,52.75,17.14,3,NO,,NO,,
Cisticola brachypterus,Cisticola_brachypterus,4,2,2,0,10.6,6.25,2.05,2.575,16.125,5.7,40.8,46.5,12.12769986,36,7.81,2,NO,,NO,,
Cisticola brunnescens,Cisticola_brunnescens,6,2,4,0,11.85,6.55,2.283333333,2.683333333,19.45,7.316666667,44.93333333,52.25,13.99890108,35,8,3,NO,,NO,,
Cisticola bulliens,Cisticola_bulliens,4,2,2,0,14.8,8.775,2.65,3.15,20.35,5.025,51.975,57,8.799894029,51.25,15.81,3,NO,,NO,,
Cisticola cantans,Cisticola_cantans,5,2,2,1,14.47,7.625,2.4,2.975,21.846,5,50.5,55.4,8.966833063,54.6,11.7,2,NO,,NO,,
Cisticola carruthersi,Cisticola_carruthersi,4,1,3,0,13.1,7.05,2.325,2.8,20.15,5.95,51.8,57.75,10.11987238,53,11.24,2,NO,,NO,,
Cisticola cherina,Cisticola_cherina,4,2,2,0,11.975,6.95,2.175,2.675,17.675,6.075,43.675,49.75,12.15153453,39.75,10,3,NO,,NO,,
Cisticola chiniana,Cisticola_chiniana,4,2,2,0,13.975,7.875,2.775,3.375,19.45,5.325,54.175,59.5,8.969581071,52,16.14,2,NO,,NO,,
Cisticola chubbi,Cisticola_chubbi,5,2,2,1,14.788,8.25,3,3.525,22.318,4.5,55.75,60.4,7.490853571,60.4,16.03,2,NO,,NO,,
Cisticola cinereolus,Cisticola_cinereolus,4,2,2,0,13.5,7.55,2.65,3.275,20.425,6.6,53.4,60,10.98115079,52.25,16.99,3,NO,,NO,,
Cisticola dambo,Cisticola_dambo,4,2,2,0,11.025,6.3,2.05,2.55,19.125,5.9,44.6,50.5,11.66949472,42.75,8.99,3,NO,,NO,,
Cisticola discolor,Cisticola_discolor,4,2,2,0,14.8475,7.465,3.0075,3.6425,24.4925,4.78,53.47,58.25,8.202341925,56,16,2,NO,,NO,,
Cisticola erythrops,Cisticola_erythrops,9,2,5,2,15.49,9.0975,3.204444444,3.572222222,22.52444444,4.915555556,52.14,57.05555556,8.595654727,55.33333333,14.77,3,NO,,NO,,
Cisticola exilis,Cisticola_exilis,4,2,2,0,10.95,6.425,1.8,2.375,16.75,7.675,38.825,46.5,16.41235774,33.75,7.04,2,NO,,NO,,
Cisticola eximius,Cisticola_eximius,4,2,2,0,10.55,6.425,1.825,2.425,17.025,6.4,41.85,48.25,13.25513739,34.5,11.95,3,NO,,NO,,
Cisticola fulvicapilla,Cisticola_fulvicapilla,5,2,2,1,11.204,6.3,1.925,2.525,15.884,5.575,44.175,49.2,11.15205717,44,8.24,2,NO,,NO,,
Cisticola galactotes,Cisticola_galactotes,18,7,9,2,14.52277778,8.567058824,2.812352941,3.430588235,21.87333333,6.285882353,49.71411765,56.38888889,11.14773118,52.88888889,13.07,2,NO,,NO,,
Cisticola guinea,Cisticola_guinea,4,2,2,0,12.805,7.6125,2.445,3.15,21.2625,6.875,49.625,56.5,12.15443108,40.5,9.3,2,NO,,NO,,
Cisticola haesitatus,Cisticola_haesitatus,4,1,3,0,10.15,6.375,1.875,2.225,16.875,5.875,41.625,47.5,12.38931159,41,6.92,2,NO,,NO,,
Cisticola hunteri,Cisticola_hunteri,4,2,2,0,13.3,7.225,2.425,3.1,23.475,7.4,55.1,62.5,11.83064516,66.25,15.48,2,NO,,NO,,
Cisticola juncidis,Cisticola_juncidis,4,2,2,0,11.1,6.775,2.1,2.55,17.525,6.45,42.55,49,13.1297954,42.75,6.81,3,NO,,NO,,
Cisticola lais,Cisticola_lais,9,5,4,0,13.5,7.233333333,2.744444444,3.333333333,21.54444444,6.644444444,53.63333333,60.27777778,11.04229243,50.11111111,14.78,3,NO,,NO,,
Cisticola lateralis,Cisticola_lateralis,4,2,2,0,14.05,8.25,2.875,3.925,20.95,5.725,53.775,59.5,9.560606061,49.75,16.78,2,NO,,NO,,
Cisticola melanurus,Cisticola_melanurus,4,4,0,0,10.7,6.075,2,2.675,16.575,5.675,39.075,44.75,12.6438588,47.5,8.71,2,NO,,NO,,
Cisticola nanus,Cisticola_nanus,5,2,2,1,10.266,5.925,1.975,2.4,16.21,4.675,40.075,44.6,10.44176033,34.2,5,2,NO,,NO,,
Cisticola natalensis,Cisticola_natalensis,4,2,2,0,14.775,7.925,3.175,4.575,24.6,9.45,56.8,66.25,14.12150783,50.5,16.44,2,NO,,NO,,
Cisticola nigriloris,Cisticola_nigriloris,4,2,2,0,15.675,8.525,3.625,3.975,26.5,6.725,58.525,65.25,10.31552342,70.75,19.64,2,NO,,NO,,
Cisticola njombe,Cisticola_njombe,4,2,2,0,11.225,5.9,2.05,2.775,17.825,5.475,47.275,52.75,10.31030367,47.75,10.87,3,NO,,NO,,
Cisticola pipiens,Cisticola_pipiens,4,2,2,0,14.525,8.2,2.55,3.35,22.775,6.725,57.275,64,10.47321679,73,13.48,3,NO,,NO,,
Cisticola restrictus,Cisticola_restrictus,3,2,1,0,12.26666667,7.533333333,2.4,3.3,18.6,4.6,48.73333333,53.33333333,8.662798453,48.66666667,13.2,2,NO,,NO,,
Cisticola robustus,Cisticola_robustus,4,2,2,0,15.025,7.95,2.925,3.875,23.95,8.45,60.3,68.75,12.27569357,52.5,18.47,3,NO,,NO,,
Cisticola ruficeps,Cisticola_ruficeps,4,2,2,0,12.225,7.125,2.4,2.95,18.125,5.15,48.1,53.25,9.679726891,38.75,9.7,2,NO,,NO,,
Cisticola rufilatus,Cisticola_rufilatus,4,2,2,0,14.075,7.975,2.575,3,19.65,6.9,49.85,56.75,12.15845556,62.5,11.3,2,NO,,NO,,
Cisticola rufus,Cisticola_rufus,4,2,2,0,11.25,6.225,2.125,2.475,16.425,8.125,40.625,48.75,16.79824104,36.5,7.3,2,NO,,NO,,
Cisticola subruficapilla,Cisticola_subruficapilla,4,2,2,0,11.575,6.175,1.875,2.5,16.25,6.75,45,51.75,13.07613368,54.25,9.92,2,NO,,NO,,
Cisticola textrix,Cisticola_textrix,4,2,2,0,10.875,6.475,2.15,2.55,19.125,6.625,44.125,50.75,13.04241029,29.75,10.34,3,NO,,NO,,
Cisticola tinniens,Cisticola_tinniens,4,2,2,0,12.125,6.925,2.15,2.55,16.95,5.625,47.625,53.25,10.52551248,56.25,11.4,3,NO,,NO,,
Cisticola troglodytes,Cisticola_troglodytes,4,2,2,0,9.875,6.025,1.925,2.275,15.875,5.15,39.35,44.5,11.5034041,33.5,12.1,2,NO,,NO,,
Cisticola woosnami,Cisticola_woosnami,4,2,2,0,13.6,7.475,2.6,3.65,20.975,5.6,51.15,56.75,9.879561476,48.5,13.5,3,NO,,NO,,
Cistothorus apolinari,Cistothorus_apolinari,1,0,0,1,14.9,8.7,2.6,3.4,23.2,9.1,44.9,54,16.85185185,47,17.7,2,NO,,NO,,
Cistothorus meridae,Cistothorus_meridae,3,1,2,0,14.8,7.92,2.506666667,3.15,19.49333333,5.47,43.03,48.5,11.28634108,35.83333333,9.72,2,NO,,NO,,
Cistothorus palustris,Cistothorus_palustris,4,2,2,0,16,9.95,2.725,3.375,19.2,9.65,38.725,48.375,19.98367135,39.5,10.8,3,NO,,NO,,
Cistothorus platensis,Cistothorus_platensis,10,0,0,10,14.89,7.72,2.31,2.87,20.34,6.1,39.6,45.7,13.35736469,47.25,9.04,3,NO,,NO,,
Cittura cyanotis,Cittura_cyanotis,17,6,6,5,44.32470588,31.27142857,15.79142857,12.93428571,16.22285714,23.41285714,80.93571429,107.7317647,22.56128392,95.20647059,147.02,1,NO,,NO,,
Cladorhynchus leucocephalus,Cladorhynchus_leucocephalus,4,0,0,4,74.5,57.16666667,4.5,4.025,84.675,102.275,94.475,196.75,52.01991024,77,216,3,NO,,NO,,
Clamator coromandus,Clamator_coromandus,4,2,2,0,31.75,21.95,8.45,9,21.05,42.25,117.5,159.75,26.44210595,212.75,74.59,2,NO,,NO,,
Clamator glandarius,Clamator_glandarius,4,2,2,0,29.475,18.7,7.875,8.3,33.575,80.925,112.075,193,41.90002714,193.75,143,2,NO,,NO,,
Clamator jacobinus,Clamator_jacobinus,4,2,2,0,23.95,15.55,6.8,7.725,27.525,50.6,92.9,143.5,35.25717227,154.75,79.37,2,NO,,NO,,
Clamator levaillantii,Clamator_levaillantii,4,2,2,0,27.85,17.925,7.75,8.85,29.875,46.625,127.375,174,26.79298498,210.75,122,2,NO,,NO,,
Clangula hyemalis,Clangula_hyemalis,4,2,2,0,33.7,19.175,16.075,11.425,30.85,107.5,104.25,211.75,50.79857306,129.75,871,3,NO,,NO,,
Claravis godefrida,Claravis_godefrida,4,2,2,0,17.4,10.8,3.375,3.7,22.15,41,77,118,34.74594379,81.75,43.47,1,NO,,NO,,
Claravis mondetoura,Claravis_mondetoura,4,2,2,0,18.05,6.975,2.6,3.3,23.425,31.85,84.275,116.125,27.44514838,78.625,89.69,1,NO,,NO,,
Claravis pretiosa,Claravis_pretiosa,12,5,6,1,16.54083333,9.8,3.1375,3.676363636,16.12,29.53916667,81.37,110.9091667,26.65716745,75.98666667,68.2,1,NO,,NO,,
Cleptornis marchei,Cleptornis_marchei,4,1,2,1,17.8,9.325,3.55,3.9,25.2,10.675,61.45,72.125,14.7729868,60,20.2,2,NO,,NO,,
Clibanornis dendrocolaptoides,Clibanornis_dendrocolaptoides,5,1,2,2,26.135,16.7475,4.3675,6.0675,29.992,9.695,82.275,92.376,10.53766102,93,48.2,1,NO,,NO,,
Climacteris affinis,Climacteris_affinis,4,2,2,0,17.6,9.075,2.825,2.925,19.55,23.875,61.375,85.25,27.93231952,59.5,21.7,2,NO,,NO,,
Climacteris erythrops,Climacteris_erythrops,5,2,2,1,21.11,10.475,3.025,3.425,21.96,21,62.25,84.3,25.21158763,64,23.3,2,NO,,NO,,
Climacteris melanurus,Climacteris_melanurus,4,2,2,0,19.575,10.675,4.175,3.825,22.425,21.825,71.175,93,23.40751098,68.25,31.85,2,NO,,NO,,
Climacteris picumnus,Climacteris_picumnus,5,2,2,1,18.84,10,3.225,3.575,23.36,23.075,65.925,89.82,25.93258852,65.46,28.94,2,NO,,NO,,
Climacteris rufus,Climacteris_rufus,5,2,2,1,19.87,10.425,3.275,3.425,23.29,24.6,64.4,89.1,27.50774323,62.5,32.64,2,NO,,NO,,
Clypicterus oseryi,Clypicterus_oseryi,4,2,2,0,51.825,30.65,13.95,18.175,40.675,52.525,142.475,195,26.57671126,137.5,137.7,1,NO,,NO,,
Clytoceyx rex,Clytoceyx_rex,4,3,1,0,48.925,32,25.975,27.8,25.5,32.75,132.75,165.5,19.82253086,120.75,242,1,NO,,NO,,
Clytoctantes alixii,Clytoctantes_alixii,4,2,1,1,24.125,14.9375,4.4075,9.075,20.31,9.3,64.7,74,12.56788711,58.75,31,1,NO,,NO,,
Clytoctantes atrogularis,Clytoctantes_atrogularis,4,1,3,0,21.7625,14.8325,6.6875,8.7275,22.2525,7.5275,70.25,77.7775,9.662241997,65.9275,31,1,NO,,NO,,
Clytolaema rubricauda,Clytolaema_rubricauda,4,2,2,0,24.9,18.6,2.6,2.425,5.5,43.2,25.3,68.5,63.0077843,39.75,7.9,1,NO,,NO,,
Clytomyias insignis,Clytomyias_insignis,5,3,2,0,16.166,8.986,5.53,3.192,24.06,5.94,50.06,56,10.59087836,72,12.4,1,NO,,NO,,
Clytorhynchus hamlini,Clytorhynchus_hamlini,4,2,2,0,28.97,19.95,6.05,6.64,22.595,16.85,75.65,92.5,18.26794042,87.75,34.6,1,NO,,NO,,
Clytorhynchus nigrogularis,Clytorhynchus_nigrogularis,4,1,3,0,25.75,17.075,6.05,8.525,23.175,17.225,85.775,103,16.70927719,89.5,55.72,1,NO,,NO,,
Clytorhynchus pachycephaloides,Clytorhynchus_pachycephaloides,4,2,2,0,21.5,14.375,5.3,7.325,18.575,16.7,73.8,90.5,18.45838871,86.5,26.3,1,NO,,NO,,
Clytorhynchus sanctaecrucis,Clytorhynchus_sanctaecrucis,1,0,1,0,22.6,14.2,4.7,6.5,23.4,16.8,73.7,90.5,18.56353591,73.5,55.72,1,NO,,NO,,
Clytorhynchus vitiensis,Clytorhynchus_vitiensis,4,2,2,0,21.25,14.125,4.5,6.025,19.3,14.4,70.85,85.25,16.88650999,76.5,29.2,1,NO,,NO,,
Clytospiza monteiri,Clytospiza_monteiri,4,2,2,0,13.2,9.425,4.725,6.55,15.425,6.725,52.025,58.75,11.45001512,53.25,14.9,2,NO,,NO,,
Cnemarchus erythropygius,Cnemarchus_erythropygius,4,1,3,0,21.625,11.85,5.125,5.075,30.075,38.45,105.3,143.75,26.75191621,102,41,3,NO,,NO,,
Cnemophilus loriae,Cnemophilus_loriae,4,1,3,0,24.375,11.675,6.125,5.6,38.35,4.65,95.1,99.75,4.670825753,76.5,83.97,1,NO,,NO,,
Cnemophilus macgregorii,Cnemophilus_macgregorii,4,1,3,0,26.175,11.775,5.425,6.2,39.575,7.65,101.35,109,7.017253102,89.75,97.87,1,NO,,NO,,
Cnemoscopus rubrirostris,Cnemoscopus_rubrirostris,6,2,2,2,17.6,8.283333333,3.866666667,4.916666667,20.88333333,14,68.58333333,82.58333333,16.99580491,66.91666667,18,1,NO,,NO,,
Cnemotriccus fuscatus,Cnemotriccus_fuscatus,89,17,34,38,13.78885057,9.7475,5.413855422,4.05,18.26261364,8.981428571,54.67857143,66.68494382,14.05948512,62.57247191,13.6,2,NO,,NO,,
