"","City_1","Country","Continent","biome","realm","Survey_method","Longitude","Latitude","X_Behrmann","Y_Behrmann","Prec","Tmin","NDVI","Elev","road_density","city_age","gdp","area","shape_ind","dist_rivers","dist_coasts","dist_mounta"
"25","Kauhava","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",23.065,63.1012,2225456.05398693,6541832.75955121,11.75,-15.8499999046326,0.0026,44,4.223605635,24,8.29176700115204,788335.620775133,0.337748111994938,123.087711847149,38.2741953414368,321.629184353607
"26","Kemi","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",24.5657,65.7356,2370253.01475945,6688530.38570219,19,-15.6000003814697,-0.0487333333333333,15.3333333333333,9.85009543,141,11.757688,2440393.96855205,0.462381795426372,16.808327099407,0.120645718141176,196.40293827094
"27","Kemijarvi","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",27.4292,66.7136,2646541.47825789,6739398.49196284,13,-17.7999992370605,-0.05505,161.5,3.098925295,37,10.1496629714966,408427.802695408,0.414841944872484,0.761125183494205,169.237398367544,159.954929300053
"28","Kotka","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",26.9459,60.4666,2599909.65901263,6381273.02395335,39,-11.6999998092651,0.018075,3,9.78105903,131,9.75353050231934,3095555.55695681,0.370671722044053,116.956240850159,0.532565827075736,517.894854409154
"29","Kouvola","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",26.7042,60.8679,2576588.92507599,6406609.66003915,20.2916666666667,-16.3958330154419,0.017225,74.625,7.152567385,50,10.9062912066778,8830920.56224283,0.0909520092640657,150.272091251597,14.1756718859243,491.360564420604
"30","Krakow","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",19.945,50.0647,1924418.85960413,5619394.03919561,47.7043010752688,-4.28655917157409,0.368123377121734,226.478494623656,5.97215833333333,756,21.6890771978645,159974346.179225,0.0402348450939179,0.820954295611009,344.211122840233,19.1578720451546
"31","Laitila","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",21.6981,60.8742,2093568.95751198,6407004.91599525,28.6666666666667,-0.483333334326744,0.0825833333333333,16.1666666666667,3.52672464666667,29,5.0377551317215,1484303.91489059,0.506017489732773,37.3596900622047,18.5306855324101,436.120317132546
"32","Lappeenranta","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",28.1897,61.055,2719919.2943887,6418315.09001809,37.3888888888889,-3.93333334392971,0.042,80.2222222222222,9.61492736555556,366,10.857211165958,6306063.06666712,0.211735290070071,57.8322709848447,30.0638806187914,478.046410400094
"33","Lavras","Brazil","America","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","Study_plot_mapping",-45.0014,-21.2485,-4342017.69208269,-2650584.26842485,45.6363636363636,13.2272728139704,0.37555,950.090909090909,9.23697427181818,178,21.950211611661,17157027.6063316,0.334095616138771,9.70047312990167,207.428462454974,118.501771719562
"34","Layyah","Pakistan","Asia","Deserts & Xeric Shrublands","Indomalayan","Point_counts",70.9428,30.9693,6845006.8825833,3765719.29442776,3,8.96666653951009,0.360346153846154,139.794871794872,0.500806766666667,466,13.2848494847616,29146979.6269917,0.0882316930259053,10.3334116985212,745.047243666808,66.1773083962784
"35","Lodz","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",19.45472222,51.77694444,1877113.78032226,5758207.52557836,39.1019108280255,-4.78471332598644,0.229929767645856,206.585987261146,7.18552570649681,590,22.1024650160674,132937278.517401,0.0557749180171338,59.1429315955508,201.055529940617,156.403402500947
"36","Loimaa","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",23.0429,60.8535,2223323.70719338,6405705.92687628,68,-4.25,-0.0047,91.1666666666667,3.60681543666667,46,7.54728285471598,1339685.64554881,0.328353180104781,50.0052989534769,31.4312643420787,455.308265928822
"37","Lublin","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.57027778,51.24805556,2177722.14722166,5715870.24950388,41.3571428571429,-5.48690477439335,0.210057283973292,195.02380952381,7.65031886988095,696,21.253831250327,72180226.0348625,0.0909128737633087,57.8209363692354,313.086562212961,117.22154230843
"38","Mar_del_Plata","Argentina","America","Temperate Grasslands, Savannas & Shrublands","Neotropic","Transects",-57.55,-38,-5552785.42843909,-4507752.69927404,62.2755905511811,6.44488192355539,0.367368633131358,25.287037037037,0.579284367222222,105,30.6170502721736,109169059.116556,0.141033978667331,207.311291261968,0.792498303505752,870.211607646424
"39","Montpellier","France","Europe","Mediterranean Forests, Woodlands & Scrub","Palearctic","Study_plot_mapping",3.8767,43.6108,374048.36264865,5052446.17068234,25.2068965517241,3.90862065759198,0.32628411715648,40.5344827586207,12.4477242351724,801,52.9018744106951,48845282.0309547,0.226543047809011,46.2029467925302,9.32747604543607,22.8657798054974
"40","Naantali","Finland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.0251,60.4661,2125119.97115402,6381241.26018105,30.6666666666667,-0.0833333345750967,0.135816666666667,15.6,4.77892313,572,8.70538234710693,1258627.3402656,0.261890047268908,53.1378494793743,0.650481601634506,466.499824609544
"41","Nanning","China","Asia","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","Point_counts",108.3665,22.817,10455880.4888088,2836413.92486378,111.118644067797,10.6690677909528,0.326162288135593,68.2415254237288,3.88166545161017,1398,62.6571590132632,200526098.642865,0.0357808791410027,3.43020066793469,103.619436900984,72.6283505547635
"42","Olsztyn","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",20.47916667,53.77777778,1975958.61462644,5913924.51099644,39.9166666666667,-5.85833337571886,0.186291940545426,144.138888888889,6.49481611333333,660,19.3939956559075,29915563.4439088,0.155855079666822,104.524312472721,87.1288965698341,309.5412290825
"43","Ostrow_Wielkopolski","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",17.8,51.65,1717455.78846596,5748090.08351949,37,-3.62173906616543,0.30563689698427,139.95652173913,7.20136660043478,609,18.422587228858,21322919.6735263,0.171742361927201,41.5212028956687,228.356096105293,116.276534473196
"44","Oulu","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",25.4651,65.0121,2457032.7752171,6649640.8602838,13.9666666666667,-16.5366668065389,-0.0566733333333333,15.5333333333333,8.55642338733333,405,13.1653452260154,28575693.651161,0.0706437800264796,0.0529910082991727,3.21043332285913,242.002116208793
"45","Pachuca","Mexico","America","Deserts & Xeric Shrublands","Nearctic","Point_counts",-98.75,20.1,-9528020.17477603,2513274.89841484,13.0222222222222,6.24000001483493,0.181024198719824,2421.88888888889,15.382458624,473,37.3812494066027,40736366.5801046,0.0906978135811692,48.3799338943552,167.661382269437,111.989915357572
"46","Paimio","Finland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.687,60.4569,2188984.24005209,6380656.72002076,80,-2.02499994635582,0.02495,35.25,1.9275135425,18,7.38192534446716,388933.783776255,0.362936094651439,48.4964578801833,6.86843742344666,475.395788453072
"47","Pargas","Finland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.2934865,60.3010817,2151015.58620858,6370731.51589515,32.25,-0.100000001490116,0.2305625,27.6666666666667,3.29923427166667,38,7.41231423616409,2964843.61851109,0.311965233117125,59.6363153748602,0.100164063208289,480.45323801732
"48","Patras","Greece","Europe","Mediterranean Forests, Woodlands & Scrub","Palearctic","Point_counts",21.7346,38.2466,2097090.70674114,4532628.19723769,102.836734693878,5.02857142565202,0.394663265306122,66.1914893617021,12.3394094676596,186,39.4616353055264,40462962.9564577,0.124296612739951,170.903832583792,0.618729537160569,11.1719259670672
"49","Pelotas","Brazil","America","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic","Point_counts",-52.3376,-31.7654,-5049860.34125932,-3852751.72154031,113.254545454545,10.8672726197676,0.42026,19.8,0.341858809090909,173,24.6086680845781,43721862.5585816,0.159278859720713,24.6672431992979,10.9195229756083,248.567028318672
"50","Phoenix","USA","America","Deserts & Xeric Shrublands","Nearctic","Point_counts",-112.076,33.451,-10813796.3453995,4034593.80828364,28.2031746031746,5.87222220708454,0.207865238095238,380.898412698413,11.2607146733968,126,33.4287440103198,543122486.11055,0.0239617917717297,20.5120990248459,259.209285653428,72.3825798076368
"51","Pila","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",16.73333333,53.15,1614537.08921005,5865831.42204533,47.8636363636364,-3.13636359301481,0.294954639037797,63.9545454545455,6.27310127,501,16.3942840749567,19612542.065308,0.141635138432885,36.3735665402683,99.069213964677,186.839267053552
"52","Piotrkow_Trybunalski","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",19.703,51.4052,1901069.17978341,5728500.3443588,37.0476190476191,-4.69047600882394,0.316775355533645,205.380952380952,7.27173109142857,609,17.89136832101,20540347.0090188,0.146244123954013,40.3494664034437,232.848745463869,129.11345683311
"53","Poznan","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",16.91666667,52.4,1632226.24123262,5807456.08418224,39.9602649006623,-3.09735094000962,0.28479504898632,65.3112582781457,7.12215661476821,760,21.7821583589971,127284031.798611,0.034286538108847,1.98021462525609,159.075118017525,135.731090711986
"54","Pretoria","South Africa","Africa","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic","Point_counts",28.2293,-25.7479,2723740.15108663,-3177974.97721634,6.53172205438066,3.85317219132023,0.289532326283988,1323.75528700906,8.63900114767372,151,22.6265665814956,289238070.653556,0.0200607128753177,108.623951395551,410.731101982127,90.740513795812
"55","Przemysl","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.77388889,49.78611111,2197367.82584332,5596333.20765777,49.5714285714286,-5.00714288439069,0.39691205955078,200.857142857143,8.52135712642857,624,17.062000479017,5745901.95348646,0.216917551956225,37.0019240189566,431.216783450046,4.03819096448743
"56","Pyhasalmi","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",25.9815,63.6812,2506858.29033867,6575331.15665098,13.3333333333333,-17.9666665395101,-0.0899,147.333333333333,1.29069161333333,17,8.74463335673015,587858.747490197,0.448505869516979,62.8428523046634,87.9444739580198,319.118607245512
"57","Quezon_City","Phillipines","Asia","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","Study_plot_mapping",121.0437,14.676,11679056.3608054,1852390.10918552,43.0779220779221,24.4967532591386,0.363261642342689,36.2727272727273,14.7937129281169,67,67.9069324097076,133101068.850301,0.205458113722234,178.565339757806,10.0938469129495,21.3393459918017
"58","Raisio","Finland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",22.1689,60.4859,2138994.6982541,6382498.73405059,31.6,-5.04999995231629,0.11171,21.4,5.668775177,30,10.2751064300537,2942597.63237944,0.323303223844557,49.7432116443509,3.32785048777427,467.263934936852
