BirdTree,Genera
Synallaxis_frontalis,Synallaxis
Tachornis_squamata,Tachornis
Tachycineta_albiventer,Tachycineta
Tachycineta_leucorrhoa,Tachycineta
Tachycineta_meyeni,Tachycineta
Tachyphonus_rufus,Tachyphonus
Tangara_mexicana,Tangara
Tapera_naevia,Tapera
Taraba_major,Taraba
Tephrodornis_pondicerianus,Tephrodornis
Tersina_viridis,Tersina
Thamnophilus_doliatus,Thamnophilus
Thlypopsis_sordida,Thlypopsis
Thraupis_abbas,Thraupis
Thraupis_bonariensis,Thraupis
Thraupis_episcopus,Thraupis
Thraupis_palmarum,Thraupis
Thraupis_sayaca,Thraupis
Thryomanes_bewickii,Thryomanes
Todiramphus_chloris,Todiramphus
Todirostrum_cinereum,Todirostrum
Todirostrum_maculatum,Todirostrum
Tolmomyias_flaviventris,Tolmomyias
Tolmomyias_sulphurescens,Tolmomyias
Toxostoma_bendirei,Toxostoma
Toxostoma_crissale,Toxostoma
Toxostoma_curvirostre,Toxostoma
Trachyphonus_vaillantii,Trachyphonus
Troglodytes_aedon,Troglodytes
Troglodytes_troglodytes,Troglodytes
Turdoides_caudata,Turdoides
Turdoides_earlei,Turdoides
Turdoides_jardineii,Turdoides
Turdoides_striata,Turdoides
Turdus_amaurochalinus,Turdus
Turdus_falcklandii,Turdus
Turdus_grayi,Turdus
Turdus_iliacus,Turdus
Turdus_leucomelas,Turdus
Turdus_merula,Turdus
Turdus_migratorius,Turdus
Turdus_naumanni,Turdus
Turdus_olivaceus,Turdus
Turdus_philomelos,Turdus
Turdus_pilaris,Turdus
Turdus_rufiventris,Turdus
Turdus_rufopalliatus,Turdus
Turdus_viscivorus,Turdus
Tyrannopsis_sulphurea,Tyrannopsis
Tyrannus_albogularis,Tyrannus
Tyrannus_melancholicus,Tyrannus
Tyrannus_savana,Tyrannus
Tyrannus_vociferans,Tyrannus
Tyto_alba,Tyto
Upupa_epops,Upupa
Uraeginthus_angolensis,Uraeginthus
Urocolius_indicus,Urocolius
Veniliornis_lignarius,Veniliornis
Veniliornis_passerinus,Veniliornis
Vermivora_celata,Vermivora
Vermivora_ruficapilla,Vermivora
Vireo_huttoni,Vireo
Vireo_solitarius,Vireo
Volatinia_jacarina,Volatinia
Wilsonia_pusilla,Wilsonia
Xanthocephalus_xanthocephalus,Xanthocephalus
Xolmis_cinereus,Xolmis
Xolmis_irupero,Xolmis
Xolmis_pyrope,Xolmis
Zenaida_asiatica,Zenaida
Zenaida_auriculata,Zenaida
Zenaida_macroura,Zenaida
Zonotrichia_capensis,Zonotrichia
Zonotrichia_leucophrys,Zonotrichia
Zosterops_pallidus,Zosterops
Zosterops_palpebrosus,Zosterops
Lagopus_lagopus,Lagopus
Perisoreus_infaustus,Perisoreus
Glaucidium_passerinum,Glaucidium
Tetrao_tetrix,Tetrao
Strix_uralensis,Strix
Strix_nebulosa,Strix
Surnia_ulula,Surnia
Tetrao_urogallus,Tetrao
Bonasa_bonasia,Bonasa
Picoides_tridactylus,Picoides
Loxia_pytyopsittacus,Loxia
Aegolius_funereus,Aegolius
Bubo_scandiaca,Bubo
Bubo_bubo,Bubo
Anthus_cervinus,Anthus
Bubo_ascalaphus,Bubo
Buteo_rufinus,Buteo
Emberiza_schoeniclus,Emberiza
Lanius_excubitor,Lanius
Passer_hispaniolensis,Passer
Sylvia_conspicillata,Sylvia
Turdus_torquatus,Turdus
Petronia_petronia,Petronia
Picus_vaillantii,Picus
Pterocles_senegallus,Pterocles
Melanocorypha_calandra,Melanocorypha
Parus_teneriffae,Parus
Sylvia_undata,Sylvia
Alectoris_barbara,Alectoris
Emberiza_cia,Emberiza
Galerida_theklae,Galerida
Gyps_fulvus,Gyps
Hirundo_rupestris,Hirundo
Sylvia_deserticola,Sylvia
Phoenicurus_moussieri,Phoenicurus
Coturnix_coturnix,Coturnix
Falco_naumanni,Falco
Oenanthe_leucura,Oenanthe
Pterocles_orientalis,Pterocles
Arremon_flavirostris,Arremon
Nothura_maculosa,Nothura
Chondrohierax_uncinatus,Chondrohierax
Podager_nacunda,Podager
Circus_buffoni,Circus
Claravis_pretiosa,Claravis
Columbina_minuta,Columbina
Crax_fasciolata,Crax
