"Species","PC1","PC2","PC3","Range_size","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"Amadina_fasciata",-0.878167555252091,-0.541392953784717,0.146021812158272,15.8182034270738,20,0,0,0,0,0,0,0,80,0,0,0,100,0,0,0,0
"Amandava_amandava",-1.76299892892037,-0.289747855316977,0.143906631072045,15.8315592164647,20,0,0,0,0,0,0,0,80,0,0,0,50,50,0,0,0
"Amandava_subflava",-1.95169025666148,-0.424936768681606,0.200261484381072,15.8593614941249,20,0,0,0,0,0,0,0,60,20,0,0,50,50,0,0,0
"Amaurospiza_moesta",-0.928985212108852,-0.43862842568936,-0.104794776355822,13.9835196235039,20,0,0,0,0,0,0,0,40,40,0,0,70,30,0,0,0
"Amazilia_beryllina",-2.36889836438496,-0.569890051103923,0.200492950470728,13.8722940878461,10,0,0,0,0,0,0,90,0,0,0,0,0,30,40,30,0
"Amazilia_cyanocephala",-2.25496411644698,-0.511818713169127,0.179691062568326,13.4900862817221,10,0,0,0,0,0,0,90,0,0,0,0,0,20,50,20,10
"Amazilia_fimbriata",-2.47847819552655,-0.709800411516444,0.416447363509302,16.2944897483564,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
"Amazilia_lactea",-2.39976795504265,-0.610823989285325,0.260362495992316,15.0572632891249,10,0,0,0,0,0,0,90,0,0,0,0,0,30,30,30,10
"Amazilia_leucogaster",-2.3261515055096,-0.896491070660809,0.344664616778656,13.7734483513704,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
"Amazilia_versicolor",-2.78546426998698,-0.437036379657043,0.406120885224273,15.6968425874852,10,0,0,0,0,0,0,90,0,0,0,0,0,30,40,30,0
"Amazilia_violiceps",-2.17811306235804,-0.587191418300133,0.151359627463417,13.4186274203043,10,0,0,0,0,0,0,90,0,0,0,0,0,10,80,0,10
"Amazilia_yucatanensis",-2.33316880290146,-0.673821640784697,0.108158673681889,13.9405022755782,10,0,0,0,0,0,0,90,0,0,0,0,0,60,40,0,0
"Amazona_aestiva",2.69307897064896,-1.05487269251665,0.460410144452563,15.7322610093859,0,0,0,0,0,0,50,0,50,0,0,0,0,30,40,30,0
"Amazona_amazonica",2.62638114220795,-1.12837550584871,0.362326105476871,16.0254225102284,0,0,0,0,0,0,100,0,0,0,0,0,0,33,33,33,0
"Amazona_autumnalis",2.75029981578725,-0.997890091567663,0.313755400885914,14.6170281410452,0,0,0,0,0,0,100,0,0,0,0,0,0,20,40,40,0
"Amazona_farinosa",3.23848003533551,-1.11189866602354,0.352506692751395,16.0254225102284,0,0,0,0,0,0,50,0,30,20,0,0,0,0,60,40,0
"Amazona_festiva",2.69110066389803,-0.994695469553194,0.390814424231386,14.5476361798594,0,0,0,0,0,0,60,0,30,10,0,0,10,20,40,30,0
"Amazona_ochrocephala",2.88970046377254,-1.2195715074064,0.427530695227319,15.8641885342495,0,0,0,0,0,0,40,0,30,30,0,0,33,33,33,0,0
"Amazona_vinacea",2.38992818167591,-0.897004692061792,0.0995574057772088,13.1673134169325,0,0,0,0,0,0,40,0,30,30,0,0,0,30,40,30,0
"Amblycercus_holosericeus",0.723400062097344,-0.371322611810095,0.0182835376713571,14.8412882969294,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"Amblyospiza_albifrons",0.406929911003815,-0.84483502582033,0.00066753746044456,15.7100378759064,40,0,0,0,0,0,30,0,30,0,0,0,0,30,70,0,0
"Amblyramphus_holosericeus",0.733970763736887,-0.40971329266283,-0.171414858809621,14.7026418569561,40,0,0,0,0,0,20,0,30,10,0,0,100,0,0,0,0
"Ammodramus_aurifrons",-1.07329098865843,-0.184994977180682,0.13469766972673,15.403451702772,30,0,0,0,0,0,0,0,70,0,0,0,80,20,0,0,0
"Ammodramus_humeralis",-1.11787324386263,-0.350734347639698,0.14971798430215,16.2253477515602,20,0,0,0,0,0,0,0,80,0,0,0,60,30,10,0,0
"Ammodramus_savannarum",-1.06878812046868,-0.267058697068169,0.158073984869605,15.5565112460158,60,0,0,0,0,0,0,0,40,0,0,0,80,20,0,0,0
"Ammomanes_deserti",-0.527332583263533,0.101322884671684,-0.173252134734239,16.6985620707142,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"Ammoperdix_griseogularis",0.740206923745385,0.270854912239689,0.694226991578285,15.2072944584108,10,0,0,0,0,0,20,0,20,50,0,0,100,0,0,0,0
"Amphispiza_belli",-0.950231501732172,0.0431538825511759,-0.106900756452282,14.3048398227956,60,0,0,0,0,0,0,0,40,0,0,0,80,20,0,0,0
"Amphispiza_bilineata",-1.02048105252416,-0.196290569210678,-0.145332608113177,14.633649014886,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"Anabacerthia_amaurotis",-0.741336071143735,0.0134759968843245,-0.153593003621977,13.5727778876769,100,0,0,0,0,0,0,0,0,0,0,0,20,60,20,0,0
"Anabazenops_fuscus",-0.0165256833616832,-0.145754159468281,-0.0279891064932653,13.4186274203043,100,0,0,0,0,0,0,0,0,0,0,0,10,20,70,0,0
"Anairetes_parulus",-2.1353761320156,0.404007564338082,-0.168891085353517,15.1694350569609,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"Anaplectes_rubriceps",-0.461429962414872,-0.342617996650585,-0.0764114902696046,15.9663336005364,80,0,0,0,0,0,10,0,10,0,0,0,80,20,0,0,0
"Anthoscopus_caroli",-2.07647773492949,-0.000886679283733538,0.0503883325702434,15.6281207662766,60,0,0,0,0,0,20,10,0,10,0,0,0,30,70,0,0
"Anthoscopus_minutus",-2.08254906542556,-0.0248023239695297,0.0297497189051027,14.8934740318703,60,0,0,0,0,0,20,0,20,0,0,0,0,40,20,40,0
"Anthracothorax_nigricollis",-2.12728831267619,-0.563441585835109,0.353144758716525,16.2850507697905,10,0,0,0,0,0,0,90,0,0,0,0,0,10,30,40,20
"Anthracothorax_prevostii",-2.074428432792,-0.644911376953363,0.274017785254632,14.3712848827942,10,0,0,0,0,0,0,90,0,0,0,0,0,10,10,60,20
"Anthracothorax_viridigula",-1.79543311593173,-0.730976190719602,0.217204576679783,14.014610184696,10,0,0,0,0,0,0,90,0,0,0,0,0,10,10,80,0
"Anthus_caffer",-1.20091740325885,0.268617149447709,-0.015330497899003,14.2418268948392,100,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0
"Anthus_campestris",-0.688836172552076,0.374784043747982,-0.19549672762147,16.2375769189948,70,0,10,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"Anthus_cervinus",-1.0841284609499,0.564544327513886,-0.0472885068962699,16.6999548285217,90,0,0,0,0,0,0,0,10,0,0,0,80,20,0,0,0
"Anthus_chacoensis",-1.31150546142722,0.404985854392022,0.245469520126341,13.7471310708653,90,0,0,0,0,0,0,0,10,0,0,0,100,0,0,0,0
"Anthus_correndera",-0.909895126367171,0.278485756503988,-0.0603109233492955,15.41609409362,90,0,0,0,0,0,0,0,10,0,0,0,80,10,10,0,0
"Anthus_furcatus",-0.972345111823012,0.216876416171117,-0.0191919746172809,14.8278049514589,90,0,0,0,0,0,0,0,10,0,0,0,80,10,10,0,0
"Anthus_gustavi",-0.974034183930938,0.300331970696006,-0.0665404009176724,14.3496233985742,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Anthus_hellmayri",-0.943952808682449,0.309421287484632,-0.149810951529965,14.4469222552123,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"Anthus_hodgsoni",-1.0035080916447,0.417714715166787,-0.0299777562496127,15.9473132780923,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Anthus_leucophrys",-0.597999227055694,0.460891778669693,-0.232841971066626,16.2787082543524,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"Anthus_lineiventris",-0.403200688040909,0.325614224250788,-0.0248048583025309,14.858987867739,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0
"Anthus_lutescens",-1.47109455154098,0.129229513849137,0.012705467623339,16.0603253781463,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"Anthus_nattereri",-0.990192602939168,0.310738592568388,-0.0717329775305269,14.0043536929769,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Anthus_pratensis",-1.10235346951214,0.445325732062388,-0.0928240476716626,16.1570737075848,80,0,0,0,0,0,0,0,20,0,0,0,70,20,10,0,0
"Anthus_richardi",-0.441270478423958,0.350582150580567,-0.0817362808957035,16.7280870424005,70,0,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0
"Anthus_roseatus",-1.01661805285768,0.516307885018616,-0.0926186033316551,14.7719765227701,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"Anthus_rubescens",-0.9157403103727,0.472584953089177,-0.151336249341459,16.27445745129,80,0,0,0,0,0,10,0,10,0,0,0,90,10,0,0,0
"Anthus_rufulus",-0.967171543630722,0.401142136108819,-0.0885807923400782,16.1888972503852,80,0,0,0,0,0,0,0,10,10,0,0,100,0,0,0,0
"Anthus_similis",-0.588695441454038,0.397594552576294,-0.200752585780601,16.5629379055454,80,0,0,0,0,0,0,0,20,0,0,0,33,33,33,0,0
"Anthus_spinoletta",-0.81542436689225,0.501272878489498,-0.115485470839274,16.4952553187352,70,0,0,0,0,0,10,0,10,10,0,0,80,20,0,0,0
"Anthus_spragueii",-0.808149249052725,0.356246042790747,0.00130500298174052,15.2437726581071,80,0,0,0,0,0,0,0,20,0,0,0,70,30,0,0,0
"Anthus_sylvanus",-0.650639949932796,0.373262496207377,0.0431244188707267,14.0546154871736,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Anthus_vaalensis",-0.434412819103634,0.458474048534906,-0.293475482898926,15.4934272820071,80,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"Antilophia_galeata",-0.925468804155376,0.232480541900261,-0.00291094853018431,14.7026418569561,40,0,0,0,0,0,60,0,0,0,0,0,0,50,50,0,0
"Anumbius_annumbi",-0.299282887810446,0.257585239351628,0.0768399793850884,15.1132219270517,80,0,0,0,0,0,0,0,20,0,0,0,50,50,0,0,0
"Apalis_thoracica",-1.64558571866989,0.293575392488983,-0.0306402391971032,14.6499981457321,80,0,0,0,0,0,10,0,10,0,0,0,0,20,40,40,0
"Apaloderma_narina",0.832087480706316,-0.338926055745262,-0.119983163691854,16.3956661494251,90,0,10,0,0,0,0,0,0,0,0,0,0,30,70,0,0
"Aphantochroa_cirrochloris",-1.9589350133063,-0.612644990384602,0.317886171028764,14.5048162037152,10,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0
"Aphelocoma_californica",1.14309160134534,-0.151452846541882,-0.235704378005955,15.0750890679737,20,20,10,0,0,10,20,0,20,0,0,0,80,10,10,0,0
"Aphelocoma_ultramarina",1.48882811369027,0.04447114283613,-0.343101188011659,13.8722940878461,10,10,10,0,0,10,20,20,20,0,0,0,60,10,30,0,0
"Aphrastura_spinicauda",-1.46703291906451,0.412734608177873,-0.19538433947827,13.8484834619186,100,0,0,0,0,0,0,0,0,0,0,0,10,30,30,30,0
"Aplonis_panayensis",-0.0333166189180682,-0.0485573755442882,0.276359072735217,15.3906474331593,20,0,0,0,0,0,60,20,0,0,0,0,10,30,30,30,0
"Apus_affinis",-1.26850483245228,0.417238278264608,0.235211047087956,16.9897223934057,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90
"Apus_horus",-1.28775594493189,1.03217963074038,0.153035878234578,15.1267356425519,100,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,80
"Apus_nipalensis",-1.34511911528067,0.958141862675754,0.306846173251207,16.0362921812793,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90
"Apus_pacificus",-0.743566889120907,0.894987642017397,0.104329571002507,16.780800164533,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Aquila_chrysaetos",4.99288628741047,0.404252727935006,0.0537260804526922,17.7093390408016,0,80,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0
"Aquila_clanga",4.38251789792581,0.374244469309692,-0.0756809597211792,16.1498621385654,10,30,30,20,0,10,0,0,0,0,0,0,50,20,30,0,0
"Aquila_fasciatus",4.30426572497946,0.338885261753649,-0.0964848826861522,16.1772285076443,0,90,10,0,0,0,0,0,0,0,0,0,70,0,10,10,10
"Aquila_hastata",3.86577528037338,0.420959849432388,-0.110368987807974,14.9979866968367,20,40,40,0,0,0,0,0,0,0,0,0,20,20,20,20,20
"Aquila_heliaca",4.89589601509234,0.2015045900384,-0.0646680000340569,16.0953257066423,0,70,20,0,0,10,0,0,0,0,0,0,100,0,0,0,0
"Aquila_nipalensis",4.61425852617063,0.340839267328527,-0.0315815821428544,16.71309017047,0,90,0,0,0,10,0,0,0,0,0,0,100,0,0,0,0
"Aquila_rapax",4.36795175169826,0.272949165031955,0.0158559012443664,16.834529511022,10,50,20,10,0,10,0,0,0,0,0,0,100,0,0,0,0
"Aquila_verreauxii",5.09921331521606,0.486613641472394,-0.0801722378084118,15.6402421248424,0,90,10,0,0,0,0,0,0,0,0,0,60,10,10,10,10
"Ara_macao",4.79228495627854,-1.32390288837893,-0.35278701790686,15.8816909676627,0,0,0,0,0,0,20,20,30,30,0,0,0,0,60,40,0
"Ara_severus",3.12382375620329,-1.17781863050499,-0.0865606733990998,15.8315592164647,0,0,0,0,0,0,30,0,50,20,0,0,0,0,60,40,0
"Arachnothera_clarae",-0.223300323768785,-0.719665382645464,0.158525607113049,13.1673134169325,50,0,0,0,0,0,0,50,0,0,0,0,0,80,20,0,0
"Arachnothera_magna",-0.00614541227884405,-0.721513958981496,0.00244628298449118,14.8633642408007,50,0,0,0,0,0,0,50,0,0,0,0,0,10,40,50,0
"Aratinga_acuticaudata",2.27481648097914,-1.30788735344209,0.00711211502601472,15.340438748234,0,0,0,0,0,0,50,0,50,0,0,0,0,33,33,33,0
"Aratinga_aurea",1.22025524007665,-0.974243212409874,0.0558878536324616,15.7249080361661,10,0,0,0,0,0,30,0,30,30,0,0,70,30,0,0,0
"Aratinga_auricapillus",1.65477167397281,-1.09614850219602,0.157616847157183,14.3349172598688,0,0,0,0,0,0,50,0,50,0,0,0,30,50,20,0,0
